cod;classes;bandas;value;comp_onda
1;sedimentos;Blue;0,1176525;0,48
1;sedimentos;Blue;0,1386075;0,48
1;sedimentos;Blue;0,1112175;0,48
1;sedimentos;Blue;0,12041625;0,48
1;sedimentos;Blue;0,13429;0,48
1;sedimentos;Blue;0,1435025;0,48
1;sedimentos;Blue;0,10501625;0,48
1;sedimentos;Blue;0,144685;0,48
1;sedimentos;Blue;0,12206625;0,48
1;sedimentos;Blue;0,0632025;0,48
1;sedimentos;Blue;0,12360625;0,48
1;sedimentos;Blue;0,13039875;0,48
1;sedimentos;Blue;0,12077375;0,48
1;sedimentos;Blue;0,11659375;0,48
1;sedimentos;Blue;0,103105;0,48
1;sedimentos;Blue;0,07600375;0,48
1;sedimentos;Blue;0,09288875;0,48
1;sedimentos;Blue;0,0700775;0,48
1;sedimentos;Blue;0,13314875;0,48
1;sedimentos;Blue;0,13331375;0,48
1;sedimentos;Blue;0,13913;0,48
1;sedimentos;Blue;0,157775;0,48
1;sedimentos;Blue;0,17882625;0,48
1;sedimentos;Blue;0,1238125;0,48
1;sedimentos;Blue;0,12302875;0,48
1;sedimentos;Blue;0,147875;0,48
1;sedimentos;Blue;0,1427325;0,48
1;sedimentos;Blue;0,1355;0,48
1;sedimentos;Blue;0,1320075;0,48
1;sedimentos;Blue;0,14683;0,48
1;sedimentos;Blue;0,12514625;0,48
1;sedimentos;Blue;0,1272775;0,48
1;sedimentos;Blue;0,1382775;0,48
1;sedimentos;Blue;0,12076;0,48
1;sedimentos;Blue;0,11535625;0,48
1;sedimentos;Blue;0,08835125;0,48
1;sedimentos;Blue;0,101015;0,48
1;sedimentos;Blue;0,13518375;0,48
1;sedimentos;Blue;0,08824125;0,48
1;sedimentos;Blue;0,06092;0,48
1;sedimentos;Blue;0,0970825;0,48
1;sedimentos;Blue;0,081325;0,48
1;sedimentos;Blue;0,11746;0,48
1;sedimentos;Blue;0,1165525;0,48
1;sedimentos;Blue;0,080005;0,48
1;sedimentos;Blue;0,12203875;0,48
1;sedimentos;Blue;0,075;0,48
1;sedimentos;Blue;0,0859175;0,48
1;sedimentos;Blue;0,12671375;0,48
1;sedimentos;Blue;0,1140225;0,48
1;sedimentos;Blue;0,07687;0,48
1;sedimentos;Blue;0,13075625;0,48
1;sedimentos;Blue;0,12844625;0,48
1;sedimentos;Blue;0,07803875;0,48
1;sedimentos;Blue;0,0507725;0,48
1;sedimentos;Blue;0,071205;0,48
1;sedimentos;Blue;0,124115;0,48
1;sedimentos;Blue;0,1187525;0,48
1;sedimentos;Blue;0,0973575;0,48
1;sedimentos;Blue;0,1204025;0,48
1;sedimentos;Blue;0,1160025;0,48
1;sedimentos;Blue;0,1232625;0,48
1;sedimentos;Blue;0,1135;0,48
1;sedimentos;Blue;0,118505;0,48
1;sedimentos;Blue;0,124225;0,48
1;sedimentos;Blue;0,1084125;0,48
1;sedimentos;Blue;0,13372625;0,48
1;sedimentos;Blue;0,12729125;0,48
1;sedimentos;Blue;0,1259025;0,48
1;sedimentos;Blue;0,117515;0,48
1;sedimentos;Blue;0,14573;0,48
1;sedimentos;Blue;0,13763125;0,48
1;sedimentos;Blue;0,1155075;0,48
1;sedimentos;Blue;0,12770375;0,48
1;sedimentos;Blue;0,1233725;0,48
1;sedimentos;Blue;0,12498125;0,48
1;sedimentos;Blue;0,13677875;0,48
1;sedimentos;Blue;0,135665;0,48
1;sedimentos;Blue;0,13121;0,48
1;sedimentos;Blue;0,13319;0,48
1;sedimentos;Blue;0,1223;0,48
1;sedimentos;Blue;0,1172125;0,48
1;sedimentos;Blue;0,14221;0,48
1;sedimentos;Blue;0,119935;0,48
1;sedimentos;Blue;0,1157825;0,48
1;sedimentos;Blue;0,1245;0,48
1;sedimentos;Blue;0,11552125;0,48
1;sedimentos;Blue;0,1352525;0,48
1;sedimentos;Blue;0,16256;0,48
1;sedimentos;Blue;0,155025;0,48
1;sedimentos;Blue;0,13053625;0,48
1;sedimentos;Blue;0,13704;0,48
1;sedimentos;Blue;0,1408625;0,48
1;sedimentos;Blue;0,1101175;0,48
1;sedimentos;Blue;0,10162;0,48
1;sedimentos;Blue;0,1599475;0,48
1;sedimentos;Blue;0,14552375;0,48
1;sedimentos;Blue;0,119825;0,48
1;sedimentos;Blue;0,14167375;0,48
1;sedimentos;Blue;0,1436675;0,48
1;sedimentos;Blue;0,1251325;0,48
1;sedimentos;Blue;0,0823975;0,48
1;sedimentos;Blue;0,1095675;0,48
1;sedimentos;Blue;0,11878;0,48
1;sedimentos;Blue;0,12019625;0,48
1;sedimentos;Blue;0,1025825;0,48
1;sedimentos;Blue;0,107725;0,48
1;sedimentos;Blue;0,1031325;0,48
1;sedimentos;Blue;0,06356;0,48
1;sedimentos;Blue;0,08936875;0,48
1;sedimentos;Blue;0,09387875;0,48
1;sedimentos;Blue;0,1378925;0,48
1;sedimentos;Blue;0,137425;0,48
1;sedimentos;Blue;0,1325575;0,48
1;sedimentos;Blue;0,11123125;0,48
1;sedimentos;Blue;0,0876775;0,48
1;sedimentos;Blue;0,12654875;0,48
1;sedimentos;Blue;0,14067;0,48
1;sedimentos;Blue;0,1645125;0,48
1;sedimentos;Blue;0,1117125;0,48
1;sedimentos;Blue;0,13594;0,48
1;sedimentos;Blue;0,116525;0,48
1;sedimentos;Blue;0,1161125;0,48
1;sedimentos;Blue;0,1211175;0,48
1;sedimentos;Blue;0,14232;0,48
1;sedimentos;Blue;0,06632375;0,48
1;sedimentos;Blue;0,107065;0,48
1;sedimentos;Blue;0,09770125;0,48
1;sedimentos;Blue;0,10108375;0,48
1;sedimentos;Blue;0,0736525;0,48
1;sedimentos;Blue;0,14353;0,48
1;sedimentos;Blue;0,137645;0,48
1;sedimentos;Blue;0,1060475;0,48
1;sedimentos;Blue;0,13449625;0,48
1;sedimentos;Blue;0,1292025;0,48
1;sedimentos;Blue;0,10613;0,48
1;sedimentos;Blue;0,125765;0,48
1;sedimentos;Blue;0,0958725;0,48
1;sedimentos;Blue;0,081875;0,48
1;sedimentos;Blue;0,10702375;0,48
1;sedimentos;Blue;0,0734875;0,48
1;sedimentos;Blue;0,1173775;0,48
1;sedimentos;Blue;0,1375075;0,48
1;sedimentos;Blue;0,106405;0,48
1;sedimentos;Blue;0,09909;0,48
1;sedimentos;Blue;0,10856375;0,48
1;sedimentos;Blue;0,0855325;0,48
1;sedimentos;Blue;0,08578;0,48
1;sedimentos;Blue;0,0752475;0,48
1;sedimentos;Blue;0,0939475;0,48
1;sedimentos;Blue;0,0939475;0,48
1;sedimentos;Blue;0,05058;0,48
1;sedimentos;Blue;0,09566625;0,48
1;sedimentos;Blue;0,15146375;0,48
1;sedimentos;Blue;0,11164375;0,48
1;sedimentos;Blue;0,0723875;0,48
1;sedimentos;Blue;0,06906;0,48
1;sedimentos;Blue;0,0947175;0,48
1;sedimentos;Blue;0,0856975;0,48
1;sedimentos;Blue;0,10503;0,48
1;sedimentos;Blue;0,14661;0,48
1;sedimentos;Blue;0,11174;0,48
1;sedimentos;Blue;0,0363625;0,48
1;sedimentos;Blue;0,11956375;0,48
1;sedimentos;Blue;0,10718875;0,48
1;sedimentos;Blue;0,09049625;0,48
1;sedimentos;Blue;0,0597925;0,48
1;sedimentos;Blue;0,09497875;0,48
1;sedimentos;Blue;0,0504975;0,48
1;sedimentos;Blue;0,1135275;0,48
1;sedimentos;Blue;0,11546625;0,48
1;sedimentos;Blue;0,09634;0,48
1;sedimentos;Blue;0,06862;0,48
1;sedimentos;Blue;0,1271125;0,48
1;sedimentos;Blue;0,13793375;0,48
1;sedimentos;Blue;0,04418625;0,48
1;sedimentos;Blue;0,1130875;0,48
1;sedimentos;Blue;0,1301925;0,48
1;sedimentos;Blue;0,09178875;0,48
1;sedimentos;Blue;0,110365;0,48
1;sedimentos;Blue;0,11684125;0,48
1;sedimentos;Blue;0,09744;0,48
1;sedimentos;Blue;0,1044525;0,48
1;sedimentos;Blue;0,069335;0,48
1;sedimentos;Blue;0,09357625;0,48
1;sedimentos;Blue;0,08188875;0,48
1;sedimentos;Blue;0,03918125;0,48
1;sedimentos;Blue;0,0658425;0,48
1;sedimentos;Blue;0,1039025;0,48
1;sedimentos;Blue;0,07630625;0,48
1;sedimentos;Blue;0,086055;0,48
1;sedimentos;Blue;0,0870725;0,48
1;sedimentos;Blue;0,11796875;0,48
1;sedimentos;Blue;0,10771125;0,48
1;sedimentos;Blue;0,07768125;0,48
1;sedimentos;Blue;0,03502875;0,48
1;sedimentos;Blue;0,09409875;0,48
1;sedimentos;Blue;0,0412025;0,48
1;sedimentos;Blue;0,0686475;0,48
1;sedimentos;Blue;0,07542625;0,48
1;sedimentos;Blue;0,09594125;0,48
2;agua;Blue;0,0227775;0,48
2;agua;Blue;0,025335;0,48
2;agua;Blue;0,0244;0,48
2;agua;Blue;0,02495;0,48
2;agua;Blue;0,0234925;0,48
2;agua;Blue;0,025115;0,48
2;agua;Blue;0,0292675;0,48
2;agua;Blue;0,02801625;0,48
2;agua;Blue;0,0221725;0,48
2;agua;Blue;0,02143;0,48
2;agua;Blue;0,021705;0,48
